Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
3,1,E4,4555,3.65,16609.45,77.9,32,16.5,3.77
3,2,E4,4244,3.36,14271.81,60.9,31.9,17.8,3.79
3,3,E4,4556,3.4,15490.72,63.8,31.6,16,3.95
4,1,E4,4238,3.42,14499.62,65,28.9,17.6,3.56
4,2,E4,4301,3.55,15256.15,71.2,30.4,16.7,3.84
4,3,E4,4154,3.48,14462.84,74.1,28.8,18.3,3.41
5,1,E4,4294,3.49,14981.4,69.7,29.1,16.2,3.44
5,2,E4,3915,3.49,13645.41,70.1,31.1,18.9,3.19
5,3,E4,4371,3.45,15099.47,73.2,31.3,16.3,3.14
6,1,E4,4420,3.58,15835.18,74.4,31.3,15.8,3.21
6,2,E4,3960,3.55,14070.46,69,29.2,19.1,3.1
6,3,E4,4109,3.59,14769.43,72.2,30.7,19,3.02
7,1,E4,4373,3.48,15230.66,72.3,32.7,13.9,3.88
7,2,E4,4025,3.59,14456.92,77.2,34,15.2,3.84
7,3,E4,4379,3.45,15106.37,69.7,33.2,16.1,3.79
8,1,E4,3981,3.35,13331.32,70,34.9,14.3,3.61
8,2,E4,3726,3.39,12614.3,72,34.3,12.3,3.72
8,3,E4,3831,3.48,13327.07,73.2,33.2,16.9,3.58
9,1,E4,3823,3.25,12409.12,67.5,28,17.1,3.08
9,2,E4,3982,3.4,13546.49,72.4,30.8,17.9,2.97
9,3,E4,3905,3.48,13608.13,81.5,31.5,15.8,3.27
10,1,E4,4456,2.8,12454.81,59.9,30.6,16.8,2.53
10,2,E4,3928,3.12,12248.19,68,31.1,12.9,3.09
10,3,E4,4104,2.61,10709.71,55.2,29.6,13.3,2.68
11,1,E4,4468,3.3,14760.03,64.3,32.5,16.4,3.51
11,2,E4,3634,3.23,11752.59,61.5,32.4,14.1,3.77
11,3,E4,4603,3.25,14961.51,65.9,33.3,14.4,4.14
12,1,E4,3433,2.27,7782.88,43.4,33.3,9.6,3.2
12,2,E4,3097,2.42,7497.65,44.3,33.8,14.3,3.36
12,3,E4,2951,2.32,6838.75,42.9,32,15.4,3.27
13,1,E4,4358,3.44,15005.65,73.7,31.3,16.8,3.7
13,2,E4,3674,3.44,12641.83,68.1,32.7,15.9,3.89
13,3,E4,4307,3.38,14549.08,69,32.2,16.5,3.69
14,1,E4,4207,3.37,14171.12,63.7,30.4,17.4,3.44
14,2,E4,4175,3.35,13995.98,64.2,30.1,18.2,3.09
14,3,E4,4397,3.33,14655.63,67.4,28.5,17.9,3.7
1,1,E5,3886,2.87,11142.11,64.2,29.8,11.5,2.58
1,2,E5,3507,3.29,11521.25,76.6,30.7,12.7,2.7
1,3,E5,3217,2.85,9156.54,63.4,29.3,13.6,3.38
2,1,E5,3730,3.32,12392.18,71.1,28.3,17.4,2.7
2,2,E5,3754,2.77,10393.5,55.7,27.5,14.6,2.24
2,3,E5,4021,3.08,12391.39,66.2,26,19.7,2.53
3,1,E5,3335,3.33,11100.74,72.9,29.3,15.5,3.62
3,2,E5,3883,3.42,13261.7,74,29.8,16.1,3.18
3,3,E5,4198,3.4,14269.75,75.7,29.4,15.6,3.09
4,1,E5,3222,3.12,10056.78,67,25.7,16.9,3.49
4,2,E5,3751,3.25,12185.55,71.8,26.3,17.7,2.94
4,3,E5,4086,3.11,12714.24,66.7,28.4,14.8,2.87
